category,avg_price,avg_demand,min_price,max_price,elasticity,p_value,n_obs,reliable_elasticity,optimal_price
Beverages,212.5408498219324,319.28699875121407,2.97,515.13,-0.868104,0.0,127890,True,255.04901978631887
Biryani,451.47756162635574,30.172031784699264,99.0,505.43,-0.563692,7.960122e-21,20614,True,505.43
Desert,438.3363660034989,64.52654705236178,98.0,738.23,-1.457661,0.0,29294,True,350.6690928027991
Extras,171.61820357174278,298.54913345649686,55.35,340.53,-0.468571,4.423463e-55,13562,True,205.94184428609134
Fish,586.3363768115942,77.25003517658647,291.03,631.53,-2.558466,4.309553e-302,10187,True,469.06910144927537
Other Snacks,254.9025149603752,164.42333818534692,97.0,321.13,-1.594526,0.0,29379,True,203.92201196830018
Pasta,397.5832298110149,59.21210699202253,97.0,670.27,-1.490616,0.0,27694,True,318.06658384881194
Pizza,591.7256339985745,216.50694939415538,389.0,728.53,-2.298937,0.0,33138,True,473.3805071988596
Rice Bowl,316.1016822000988,626.950504836546,56.26,504.43,-1.102403,0.0,33408,True,252.88134576007906
Salad,289.1873586914853,402.79677982706477,116.4,363.81,-1.846154,0.0,28559,True,231.34988695318827
Sandwich,286.48252224151986,531.7651791727218,82.45,409.4,-2.145913,0.0,33291,True,229.1860177932159
Seafood,600.1283948251079,106.34142091736726,145.53,728.53,-2.558646,0.0,26916,True,480.10271586008633
Soup,227.32365640833174,77.57909551510602,156.17,272.63,-2.246765,0.0,12675,True,181.8589251266654
Starters,273.66980171973773,163.2563508579057,186.27,292.94,-1.782433,0.0,29941,True,218.9358413757902
